Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
Puerto Rico,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
New Hampshire,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,53.3,81,207487
West Virginia,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,59,47,76140
Connecticut,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,64.8,447,882349
South Carolina,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,69.2,287,473223
New Jersey,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,72,3240,4592341
New Mexico,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,73.7,139,169460
Michigan,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,75.7,1025,1689864
Alabama,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,75.9,239,374888
Indiana,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,77.3,414,879078
Delaware,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,77.4,149,206323
Vermont,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,80,34,62920
Illinois,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,80.2,3035,3757500
Utah,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,81.6,259,417195
Ohio,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,82.3,902,1505977
Texas,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,82.9,5341,7656100
Florida,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,84.1,3032,3145804
Pennsylvania,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,84.3,1713,2457914
North Carolina,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,85.1,1015,1705975
Missouri,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,85.2,445,669232
Maryland,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,85.3,1877,2062024
New York,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,86.1,8340,8981312
Arkansas,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,86.1,162,256284
Virginia,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,86.2,2376,2998720
Colorado,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,86.2,728,983966
Kentucky,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,87.5,215,366822
Kansas,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,87.7,285,455178
Maine,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,88.4,73,88772
Arizona,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,88.5,1070,1271497
Mississippi,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,89.4,132,161852
Alaska,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,89.6,199,236154
District of Columbia,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,90,86,149149
North Dakota,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,90.3,24,64994
Montana,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,90.3,38,51759
Tennessee,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,90.6,467,668172
Massachusetts,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,91.2,1825,2535056
Georgia,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,91.7,1768,2376069
Washington,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,93.6,3209,3690539
Nebraska,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,93.9,147,260397
Rhode Island,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,94,132,190441
Wisconsin,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,95.3,490,899898
Idaho,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,97,115,137147
Nevada,All Types of Cancer,2018-2022,Male and Female,Asian Non-Hispanic,Mortality,97.3,1716,1324394
